ASIN,date,question,answer,author_of_answer
B003ZJJ4K0,2016-01-23,is this non-gmo?,Yes it is. Take a look at their website. It also states it is on the bag.,NewRiverGourmet
B003ZJJ4K0,2016-01-31,Is this GMO free?,Yes it is. I just checked the bag. But I got it because the nutritionist said that the purple corn has more antioxidents in it.,NewRiverGourmet
B003ZJJ4K0,2016-06-25,does it pop up purple?,"No, it pops up white, but it tastes great! :)",Kristal W.
B003ZJJ4K0,,"How does this compare with the baby white Amish popcorn - in taste, hull and size???","I love baby white as well, but have switched to this. The flavor and hull amount is very similar, but this one pops up larger . I will admit the baby white may be a tad bit more tender, but not much. I actually mix this purple with the black popcorn (even more tender than baby white but very expensive) and the resul… see more",Kristal W.
B003ZJJ4K0,2016-01-31,Will it pop well using a hot air popper?,ALOHA Yes best popcorn nature @'ll colors pop white ENJOY,Kristal W.
B003ZJJ4K0,2017-11-08,Can i pop this popcorn in a commercial electric popcorn machine?,"I don't see why not. Works the same as regular white or yellow popcorn. Only better. Love thiis nutty, crunchy purple stuff. Good luck!.",Kristal W.
B003ZJJ4K0,2018-02-13,Is it purple after it’s popped,No it has a different color then white corn its kinda yellow and white .,Kristal W.
B003ZJKOZE,2018-05-18,is this product salt free?,"We’ve only tried the purple variety, our favorite, by the way, but this is the raw kernels, no salt until it is popped and then you can salt away. Amish Country is the only popcorn we buy, we believe it is the best around",Patricia M.
B003W0JWCC,2015-10-03,Does this have dextrose or malitrose in it?,Those ingredients do not appear on the label,jesse rueger
B003W0JWCC,2016-09-28,Does this contain yellow#5 or #6?,"Yes, it contains both.",jesse rueger
B003W0JWCC,2017-05-24,How many milligrams of sodium in a teaspoon of this product?,There is no dietary information listed on the product.,jesse rueger
B003W0JWCC,2017-08-25,Is this gluten free,Yes.,jesse rueger
B003W0JWCC,2017-05-23,What is the ingredients,"Too many to list. The main ones are salt, maltodextrin, natural butter flavor,, Annato and turmeric.",jesse rueger
B003W0JWCC,2017-05-24,Does this have milk in it?,Yes. The label lists the following: *Contains milk*,jesse rueger
B003W0JWCC,2015-09-18,recievedv4.5 oz.of popcorrn how do I make it.,Use air popper add butter and Amish salt Amish poppcord is the best I've ever had,jesse rueger
B003W0JWCC,2017-02-04,is this butter flavored?,"It did not taste like butter flavor to me, had a weird after taste. So disappointed",jesse rueger
B003W0JWCC,2016-11-28,What is the calorie count of this product?,"Sorry, it is not stated on the container.",jesse rueger
B003W0JWCC,2017-12-05,How does it compare ro flavocol?,I prefer this ballpark salt to flavocol. It's simply the best!,jesse rueger
B003W0JWCC,2015-04-27,"Is it only one jar of seasoning for $8.38, or is it a case of them?",This looks like a listing for just one jar. I don't see anywhere on this page that you are getting a case.,JacksCountryStore
B003W0JWCC,2016-03-05,How does this compare to flavacol seasoning popcorn salt?,"I have not tried flavacol. But, I believe that it may be one in the same.",JacksCountryStore
B003W0JWCC,2016-02-09,Does this jar act as a shaker also?,"Yes, peel off the sticker to reveal holes.",JacksCountryStore
B003W0JWCC,2015-05-05,Can this be added to the popping oil like Flavacol can?,Yes you can. I have done it both ways and prefer to put it on after. Tends to stick to the bottom of the pan (depending how you cook it) so you lose a good share of it.,JacksCountryStore
B003W0JWCC,2016-07-24,Did it look like the picture or was it totally different.,It looks exactly like the picture and tastes even better.,JacksCountryStore
B00HT84LFQ,2016-12-01,"What does ""Gmo"" mean?","A GMO, or genetically modified organism, is a plant, animal, microorganism or other organism whose genetic makeup has been modified using recombinant DNA methods (also called gene splicing), gene modification or transgenic technology.",Susan75023
B00GP0EZ14,2014-12-10,any different flavor/benefits to the colored popcon,"This is really good quality popcorn. There are differences between the colors. We use coconut oil in our popper, add a little salt and nothing else. Best popcorn ever! Read the descriptions (some smaller kernels, some large kernels) Nice to have a variety. I disagree with previous review. This is really good popcorn!",Shirnuf
B00GP0EZ14,2015-12-07,Is this glutton free?? I am looking for a gift for someone who has cut out glutton...,It is. All popcorn is gluten free.,Shirnuf
B00GP0EZ14,2014-12-21,Are they supposed to change colors?,They all pop white in color. They have slightly varied flavors and textures.,Shirnuf
B00GP0EZ14,2017-01-30,Can this popcorn be used in a silicon popcorn popper,Yes,Shirnuf
B00GP0EZ14,2016-12-15,Ingredients of popcorn salt?,I bought this a year ago and we used it all so I no longer have it. The black popcorn didn't pop well.,Shirnuf
B00GP0EZ14,2015-11-25,Can these be popped in the microwave?,"Sorry, no idea. I've never tried it.",Shirnuf
B00QR6JMH8,2016-11-14,Is the gear metal or plastic?,It's metal.,Kelly S.
B00QR6JMH8,2016-03-24,Is this a stainless steel popper?,"It's not heavy enough to be stainless steel, I think it's aluminum. I bought this for my husband for Christmas along with some Amish popcorn and he loves it and uses it on average 3 times a week.",Kelly S.
B00017LEZC,2015-11-13,Can you use this type of popcorn in a nordicware microwave popper ?,Yes. I use 1/3 cup popcorn & 2 Tablespoons coconut oil. It did not pop up as much volumn as the other popcorn I use but had a good flavor. There are always a few unpopped kernals with whatever brand I use.,Hates to shop
B00017LEZC,2018-02-07,Is it hulless?,Not really.,Hates to shop
B00017LEZC,,Why does is smell like dirt and I have found small seed sized rocks in this batch,"I've bought lots of Amish Popcorn and with the blue and red varieties have found plenty of rocks, dirt, moldy kernels and even rat feces. It's harder to visually inspect that stuff out of the darker color popcorn. Since this has a fair amount of blue and red in it, I would suspect you might get an occasional bag with r… see more",Hates to shop
B00017LEZC,2016-01-21,Does this popcorn work well with a hot air popper ?,Yes.,Hates to shop
B00017LEZC,2015-04-09,Do you see the color after it pops?,No they turn white.,Hates to shop
B00017LEZC,2014-06-23,Is Amish Country brand non GMO?,I really don't know. The company seems very conscientious about their product. You should contact their company for further details. I do enjoy their popcorn over other brands.,Hates to shop
B00017LEZC,2018-09-09,Can you use this in a kettle carnival style popper?,"Yes, you can use this popcorn in all styles of poppers.",Hates to shop
B00017LEZC,2017-02-23,Can you microwave this popcorn?,"I throw 1/4 cup in a brown lunch sack fold over the top twice and microwave til the popping almost stops, take out and salt immediately. I do not like a lot of oils just the natural taste and it comes out great every time! (husband does not like ""dry"" popcorn and will not eat this way wants it floating in butter)",Hates to shop
B00017LEZC,2017-11-27,Will this combination work with an air popper?,"Yes, their corn is delicious and without chemicals.",Hates to shop
B00017LEZC,2018-01-14,Is this popcorn 'non-gmo'?,not sure,Hates to shop
B00017LEZC,2015-12-01,Can you use this popcorn in a hot air popper?,"yes, works well.",PowerCrazy
B00017LEZC,2014-01-23,Is Amish Country brand non GMO?,"Be aware: amish country website http://www.amishcountrypopcorn.com/popcorn.html : non GMO, but this is a different brand an it has no info http://www.wabashvalleyfarms.com/",PowerCrazy
B001J4FSR6,2016-09-06,Is this organic / GMO free?,no,Robert Turner
B07CV2WJ3L,2018-10-22,What is the nutrition information?,"I tried to review this product and include a photo of the nutrition label, but Amazon keeps giving me the message ""Something went wrong"" and won't complete the review. Wish I could post the photo here, but no such option.",GoodSeal
B00M9NO8PO,2018-03-16,"Will this popcorn pop in a hot air popcorn maker, or do you need oil?","Yes, it pops beautifully in a hot air popper!",Susan
B00M9NO8PO,2015-02-14,What's the difference between midnight blue and blue popcorn?,The taste of the natural blue kernels is intense and nutty,Susan
B00M9NO8PO,2015-02-17,What's he difference between midnight blue and blue popcorn?,Midnight blue is cruncher and tastier,Susan
B00M9NO8PO,2018-07-04,Can this be popped in a saucepan?,I never tried it in a saucepan but I don’t know why you couldn’t.,Susan
B00M9NO8PO,2016-08-21,Is it organic ?,No,Susan
B00M9NO8PO,2015-10-02,Could you plant these seeds?,No they are not seeds they are popping Kernels,Susan
B00M9NO8PO,2016-11-01,Does it pop up blue? Please forgive me... lol... I've honestly never seen bye popcorn and wondered...,No it pops white,Susan
B00M9NO8PO,2017-02-05,The description says large. Are they as crunchy and taste as good as the small hulless? I know they aren't completely hulless but is it limited?,"Yes, they require a little extra cooking time. You'll have to experiment but I also recook the unpopped kernals.",Susan
B00M9NG2J4,2018-03-26,Has anyone tried both the baby white and this premium lady finger so you can give a comparison?,I prefer the lady finger. It is smaller and no husks.,Elaine W.
B00M9NG2J4,2013-10-08,is it gmo free?,I'm sorry--I don't know the answer to that--wasn't on packaging.,Elaine W.
B00M9NG2J4,2016-07-23,Is it gmo free?,The tender white bag says no GMOs.,Elaine W.
B00M9NG2J4,2014-12-17,what is the difference between baby white and ladyfinger kernels,Ladyfinger is yellow,Elaine W.
B00M9NG2J4,,My kids can't eat popcorn because the orthodontist says hulls get stuck in braces. This says that the hulls disintegrate. Is this really hulless?,"This is practically hulless, but there is a little that does get stuck in the teeth, but not like regular popcorn. I don't think I would use it if the orthodontist doesn't want anything to stick in the braces. These grains are very tiny - even too small to pop in an air popper (they won't stay in long enough to pop!). … see more",Elaine W.
B00M9NG2J4,2017-02-15,"If planted, will it grow?",no,Elaine W.
B00M9NG2J4,,Any good tips on popping these?,"If you cook with gas or electric coils, no problem. If you have a ceramic-electric cooktop, you MUST have a perfectly flat-bottomed pot to get adequate heat transfer. I use a popper with a stirring mechanism, I find it much easier than swirling the contents in a standard pot.
1) put oil in pan, along with a few kernel… see more",Elaine W.
B00M9NG2J4,2015-02-01,does anyone know if this is GMO free?,I'm sorry but I cannot answer that question,Elaine W.
B00M9NG2J4,2017-06-12,Will this pop in a hot air corn popper?,I love this popcorn but have not had the best of luck using it in an air popper.,Elaine W.
B00M9NG2J4,2017-06-08,Is this corn nearly hulless?,"Yes, no hulls stuck in your teeth after eating this!",Elaine W.
B00INM1OQ6,2017-06-11,disappointed the kernels didn't seem to pop all the way making them hard instead of light and fluffy is that how they are suppose to pop?,"I had no problems popping all varieties of this brand. If true, ask for a refund or replacement.",texas zombie
B00INM1OQ6,2018-04-03,how can this be 10 1lb bags if the shipping weight is 8.7lbs?,"That is a really good question. Sorry I can’t help you with that one. However, the popcorn is the best I’ve tried.",texas zombie
B00INM1OQ6,2016-11-26,Do these bags come in a box that be wrapped as a gift?,"It has been over a year since I ordered this, but yes it came in a box inside the Amazon Box. The bags are nicely labeled though so if it doesn't you could always put them in a gift basket or something...",texas zombie
B00INM1OQ6,2018-08-22,I’ve ordered several different items and don’t get the recipes. How do I get my copy(ies)?,"Quite right, I hadn't noticed! No idea how they would deliver digital recipes... I'll send a question to the seller!",texas zombie
B00INM1OQ6,2016-07-11,"Does anyone happen to know if this product is Kosher certified, and if so, the name of the certifying agency? Thanks!","I would suspect it is not, but I would contact the vendor to be positive.",texas zombie
B003ZJKG1G,2015-12-04,Is this popcor hull less?,Yes it is very good.,sandy
B003ZJKG1G,2018-10-02,Is this mushroom?,It is not a true mushroom popcorn. It is a mixture of mushroom and butterfly varieties of popcorn.,sandy
B003ZJKG1G,2018-07-02,Can you use any oil to put in to make it??,"I use avocado oil or olive oil because, to me, it makes it taste better and has a higher burn temperature.",sandy
B003ZJKG1G,2015-10-16,Can this be popped in an air popper?,"I shouldn't even answer this , but the popcorn is so wonderful that I must. I have never used an air popper. I use the ""Back to Basics stove top popper"" and it is the greatest way to popcorn ever invented. Give it a try because you can use such a small amount of oil that it couldn't harm you. Best Regards, Erick",sandy
B00M9NDB1Q,2017-03-22,"Does this ""mushroom"" in an air popper? i understand if using oil, it should be 450ºf to generate the internal pressure req'd to get the mushroom. tia!",I use a silicone microwave popper. I have used it both with and without oil and it pops up nice and round with both methods.,Kirsten M Krawec
B00M9NDB1Q,2018-08-10,How do I download the ebook that is supposed to come with the popcorn?,I had to send them an email an they sent me an email back with a link to the recipes,Kirsten M Krawec
B00M9NDB1Q,2017-12-01,is this itam 100% mushroom popcorn? or is it a mixture of buterfly and mushroom popcorn kernels ?,"The bag I got seemed old.
didn't pop nice and fluffy as described. was hard and not edible. very disappointed. to costly to send back. will not buy from this company again.",Kirsten M Krawec
B00M9NDB1Q,2018-11-24,Is this mushroom corn hulless like the medium hulless?,"My order had more hulls than I was expecting. More than any other popcorn I’ve ever had. The size was perfect. But this order was chewy and too many hulls, not particularly desirable - sadly.",Kirsten M Krawec
B00M9NJXJK,2018-09-05,Is this popcorn actually blue in color when it is popped?,"no, it pops white.",Amazon Customer
B00M9NJXJK,2018-10-26,Could I plant this for sprouting?,"Yes, you can try planting this popcorn but it is processed for popping not planting so there is no guarantee on how well it would grow.",Amazon Customer
B00MARRI10,2015-03-09,What is in the spices? Is there MSG? GMOs?,There is MSG in the Ranch flavor--sadly. So I got rid of that one. As far as GMO's --I don't know. The rest of the ones I ordered are very good and I am happy with those!,Debby
B00VDWVM7Y,2015-10-28,Could someone post the ingredients for these? really looking for any soy or msg. thanks!,White cheddar has msg + soy lecithin,jaba
B00VDWVM7Y,2018-03-02,Does the flavors have a powery texture ?,"Yes, these seasonings are powdered.",jaba
B00VDWVM7Y,2017-10-07,How many ounces are each container,Between 3.8 oz to 6 oz,jaba
B00VDWVM7Y,2017-12-13,Are these gluten free?,I don’t know,jaba
B00M9NI7IS,2015-12-04,Is this popcor hull less?,Yes it is very good.,sandy
B00M9NI7IS,2018-10-02,Is this mushroom?,It is not a true mushroom popcorn. It is a mixture of mushroom and butterfly varieties of popcorn.,sandy
B00M9NI7IS,2018-07-02,Can you use any oil to put in to make it??,"I use avocado oil or olive oil because, to me, it makes it taste better and has a higher burn temperature.",sandy
B00M9NI7IS,2015-10-16,Can this be popped in an air popper?,"I shouldn't even answer this , but the popcorn is so wonderful that I must. I have never used an air popper. I use the ""Back to Basics stove top popper"" and it is the greatest way to popcorn ever invented. Give it a try because you can use such a small amount of oil that it couldn't harm you. Best Regards, Erick",sandy
B003W0KBFE,,Is there fat in this salt?,"Label says, ""No fat,"" and No trans fat.""
The salt granules are super fine. I really like the taste. I have a tendency to be a bit heavy handed with it so be careful when salting. There's a learning curve to using it. You can always sprinkle more on... Kind of hard to, 'dust' off once you shake it on.
Very tasty and… see more",Ms Tori
B003W0KBFE,2018-01-26,Does the container open by unscrewing or popping up? I take our own salt to the movie theatre and don't want it to open in my bag.,The white cap is screwed on and will not leak if put in a bag.,Ms Tori
B003W0KBFE,2017-05-01,How does the flavor and texture compare to Reece buttery flavor popcorn salt?,Have not heard of Reece before. I ran across this a couple of years ago. Have not been disappointed with this product at all. I keep buying it now. Reminds me of the flavor packet that use to come in bags of popcorn when I was a kid.,Ms Tori
B003W0KBFE,,Is this similar to Flavacol popcorn salt? Can it be added to the oil before popping?,I'm not familiar with Flavacol Popcorn salt. The Amish Ballpark Style Popcorn salt works quite well when added to warm (or hot) popcorn you have popped or micro-waved. Even works well with regular bags of popcorn from the grocery (or such). I do not think this will work well to add to the oil before popping - but yo… see more,Ms Tori
B003W0KBFE,2018-01-22,What is the sodium content?,25%,Ms Tori
B003W0KBFE,2018-09-24,is this salt ground extra fine?,"Yes, our Ballpark Style Popcorn Salt is made with a very fine salt.",Ms Tori
B003W0KBFE,2014-10-17,What are the ingredients of this seasoning?,"Salt, maltodextrin, natural butter flavor, an natty and turmeric (for color), contains milk, modified food starch, fd&c yellow #5 and #6, natural and artificial flavor, tricalcuim phosphate added as anti-caking agent. Hope it helps",Ms Tori
B003W0KBFE,2018-06-16,Does this product have msg?,"Does not appear to. Ingredients listed: salt, maltodextrin, butter flavor, annatto and tumeric (for color), ""contains milk"" modified food starch, coloring,natural and artificial flavor, tricalcium phosphate (as anticaking agent).",Ms Tori
B003W0KBFE,2017-04-18,Is there a suggestion as to how to make the salt stick to air popped popcorn?,I use melted butter,Ms Tori
B00AX6JGI8,2016-12-28,Is this meant to be liquid or gel? I just got mine and it's not remotely a liquid,This is a thick buttery liquid and as it warms it then melts. If you have and Air Popper then place in the top to melt. If you use a microwave be careful how long you warm this up. This does not take long and works well on Pop Corn and will not make the corn kernels soggy and wet.,Terri L Leedy
B00AX6JGI8,2016-06-06,Is this a powder or more like syrup?,"It is liquid, it is just like the liquid butter at the movie theaters. If you like the liquid butter at the movies then you will love this.",Terri L Leedy
B00AX6JGI8,2015-02-15,Does it require refrigeration after opened?,No,Terri L Leedy
B00AX6JGI8,2018-04-18,What is the nutritional info for this?,"Not sure, but it taste just like the movies!!!",Terri L Leedy
B00AX6JGI8,2017-01-25,how much fat and calories are in this product,"Per 1 tbsp., it has 110 Cals., 12 g Fat, & 4 g of Sat. Fat",Terri L Leedy
B00AX6JGI8,2018-05-03,Is this non gmo? What are the ingredients?,I'm sorry I don't know. Would not imagine it's not non GMO. It's basically oil.,Terri L Leedy
B00AX6JGI8,2018-07-30,Does this need refrigeration?,I’ve never refrigerated it. It’s soybean oil with flavoring. That would thicken it.,Terri L Leedy
B00AX6JGI8,2018-02-23,Can this be used in place of oil in old fashion stovetop popper?,"Yes, absolutely. It is delicious.",Terri L Leedy
B00AX6JGI8,2016-02-25,Does it ever expire?,Yes it has an expiration date on the of the bottle.,Terri L Leedy
B00AX6JGI8,2018-04-19,I just got this today but it's semi solid. Do you warm this up first before putting on the popcorn?,"If your room is cold, it can be semi to completely solid. Then you can warm it up, microwave it. But if the room it is in is warm/hot, then you do not need to do anything except pour and enjoy.",Terri L Leedy
B00AX6JGI8,2016-01-17,Is this dairy free?,you do not have to refrigerate after opening so I would say yes it is dairy free,Rebecca
B00AX6JGI8,2014-02-20,Can it be sprayed? And could someone send me the nutritional values so I can get the Weight Watchers points. thank you.,"i've bought this before. I think it's probably too thick to be sprayed, but you could try it.",Rebecca
B00AX6JGI8,2018-08-27,What are the ingredients? soybean oil? coconut oil? betacarotene? are they listed on the label or direct to see a website?,"Soybean oil, palm oil, artificial butter flavor, TBHQ and citric acid.",Rebecca
B00AX6JGI8,2016-11-21,do you know if have a lot of Salt,"Hi Daphne, great question! The label says there is ZERO Sodium. Thank you for asking.",Rebecca
B00AX6JGI8,2018-01-05,My bottle didn't have an expiration date...any ideas on how long it will last?,"No I do not. I eat a lot of popcorn, and one bottle last me about 3 months.",Rebecca
B075FD8XLP,2016-12-28,Is this meant to be liquid or gel? I just got mine and it's not remotely a liquid,This is a thick buttery liquid and as it warms it then melts. If you have and Air Popper then place in the top to melt. If you use a microwave be careful how long you warm this up. This does not take long and works well on Pop Corn and will not make the corn kernels soggy and wet.,Terri L Leedy
B075FD8XLP,2016-06-06,Is this a powder or more like syrup?,"It is liquid, it is just like the liquid butter at the movie theaters. If you like the liquid butter at the movies then you will love this.",Terri L Leedy
B075FD8XLP,2015-02-15,Does it require refrigeration after opened?,No,Terri L Leedy
B075FD8XLP,2018-04-18,What is the nutritional info for this?,"Not sure, but it taste just like the movies!!!",Terri L Leedy
B075FD8XLP,2017-01-25,how much fat and calories are in this product,"Per 1 tbsp., it has 110 Cals., 12 g Fat, & 4 g of Sat. Fat",Terri L Leedy
B075FD8XLP,2018-05-03,Is this non gmo? What are the ingredients?,I'm sorry I don't know. Would not imagine it's not non GMO. It's basically oil.,Terri L Leedy
B075FD8XLP,2018-07-30,Does this need refrigeration?,I’ve never refrigerated it. It’s soybean oil with flavoring. That would thicken it.,Terri L Leedy
B075FD8XLP,2018-02-23,Can this be used in place of oil in old fashion stovetop popper?,"Yes, absolutely. It is delicious.",Terri L Leedy
B075FD8XLP,2016-02-25,Does it ever expire?,Yes it has an expiration date on the of the bottle.,Terri L Leedy
B075FD8XLP,2018-04-19,I just got this today but it's semi solid. Do you warm this up first before putting on the popcorn?,"If your room is cold, it can be semi to completely solid. Then you can warm it up, microwave it. But if the room it is in is warm/hot, then you do not need to do anything except pour and enjoy.",Terri L Leedy
B075FD8XLP,2016-01-17,Is this dairy free?,you do not have to refrigerate after opening so I would say yes it is dairy free,Rebecca
B075FD8XLP,2014-02-20,Can it be sprayed? And could someone send me the nutritional values so I can get the Weight Watchers points. thank you.,"i've bought this before. I think it's probably too thick to be sprayed, but you could try it.",Rebecca
B075FD8XLP,2018-08-27,What are the ingredients? soybean oil? coconut oil? betacarotene? are they listed on the label or direct to see a website?,"Soybean oil, palm oil, artificial butter flavor, TBHQ and citric acid.",Rebecca
B075FD8XLP,2016-11-21,do you know if have a lot of Salt,"Hi Daphne, great question! The label says there is ZERO Sodium. Thank you for asking.",Rebecca
B075FD8XLP,2018-01-05,My bottle didn't have an expiration date...any ideas on how long it will last?,"No I do not. I eat a lot of popcorn, and one bottle last me about 3 months.",Rebecca
B00017LEYI,2018-03-07,Does this product contain plastic?,Not that I noticed.,Jacquelyn B.
B003WGE3ES,2018-02-16,Do you just put it in the machine with the oil?,Yes,K. Rush
B003WGE3ES,2014-12-16,What are the ingredients? Thanks.,"sugar, brown sugar, molasses, soy lecithin, salt, artificial flavors, fd&c yellow, no. 5 (e102), fd&c red no. 40 (e127), fd&c blue no. 1 (e133).",K. Rush
B003WGE3ES,2016-08-24,Could I sprinkle this over fried sweet potato chips ?,"If you want them to taste sweet and caramel flavored, yes! This is an excellent product.",K. Rush
B00NJ1NX7E,2015-06-30,Is this popcorn organic or raised organically? Pesticides?,"Organic and non-GMO. VERY TINY kernals and small ""puffs"" when popped, but excellent flavor.",B. D. Hamilton
B00NJ1NX7E,2015-10-30,What is the difference between Ladyfinger and Baby White?,"Sorry, I don't know the difference in the two kinds of Amish popcorn. We DO like the flavor of the popcorn we purchased but the ""puffs"" of corn are so tiny that we have to put a whole handfull in our mouths at once to have a good ""bite"" of popcorn. (Very tiny kernals of corn)",B. D. Hamilton
B00NJ1NX7E,,"Any popping problems in a ""Cook's Essentials Popcorn Maker""?","The Amish Country Hulless Popcorn is: 1) less flavorfull, 2) unusable in popcorn makers that use the hot air systems because the kernals are so light they blow out of the popcorn making unit, 3) after popping are so much smaller that salt, seasoning and butter go through the popcorn more easily and wind up on the bott… see more",B. D. Hamilton
B00NJ1NX7E,2017-11-29,"I ordered the amish country4 ""mushroom"" popcorn. hulls were horrible. is this really hulless?","I didn't buy ""mushroom"". I purchased the Lady Finger and it is great.",B. D. Hamilton
B00NJ1NX7E,2015-08-30,"Any popping problems in a ""Cook's Essentials Popcorn Maker""?",i pop mine in the microwave also. i did not like this popcorn at all. kernels were small and tough.,B. D. Hamilton
B07CV4B86R,2018-09-27,What ingredients are in it? Is it manufactured with nuts or peanuts?,no nuts or peanuts,LAS 920
B07CV4B86R,2018-10-26,How much sodium is in this?,The back says 0.141 mg.,LAS 920
B00UHKJG8A,2015-04-17,What are the ingredients,Coconut Oil with Natural Color Added (Beta Carotene). Product information/materials may change. Refer to the package or call for updates.,WinCrest BulkFoods
B00UHKJG8A,2018-09-15,Is there palm oil in it?,"Reading the label, ""Coconut Oil and coloring"". So, I would say ""No palm oil"".",WinCrest BulkFoods
B00UHKJG8A,2017-04-08,Should this be refrigerated?,Nothing listed that it has to be refrigerated. If you kept it in the refrigerator it would be really difficult to use it since it would turn to near solid. This is a thick product,WinCrest BulkFoods
B00UHKJG8A,2016-12-18,"Can this be sprayed over popped popcorn, or is it too thick to spray?",It solidifies. You would have to melt it. I would not try to spray it,WinCrest BulkFoods
B00UHKJG8A,2018-07-20,Will this work with silicone microwave popper and how much to add?,"Yes, I pop it that way at work!",WinCrest BulkFoods
B00UHKJG8A,2016-12-01,Can anyone help with the Ingredients of this?? It's not listed. Thanks!!,The only thing listed after ingredients says: Coconut oil with color added.,WinCrest BulkFoods
B00UHKJG8A,2016-11-29,can this oil be used in air popper?,It works with microwave poppers. Air poppers.. I srsly would NOT.,WinCrest BulkFoods
